GCS 192.168.1.25 parth Aether 60000 DTC GROUP0 0
uav 192.168.1.101 uas-dtu Aether 256000 INTEL GROUP1 1
uav 192.168.1.102 uas-dtu Aether 256000 INTEL GROUP1 2
uav 192.168.1.103 uas-dtu Aether 256000 INTEL GROUP1 3
uav 192.168.1.104 uas-dtu Aether 256000 INTEL GROUP1 4
uav 192.168.1.105 uas-dtu Aether 256000 INTEL GROUP6 5
uav 192.168.1.106 uas-dtu Aether 256000 INTEL GROUP6 6
uav 192.168.1.107 uas-dtu Aether 256000 INTEL GROUP6 7
uav 192.168.1.108 uas-dtu Aether 256000 INTEL GROUP6 8
uav 192.168.1.109 uas-dtu Aether 256000 INTEL GROUP9 9
uav 192.168.1.110 uas-dtu Aether 256000 INTEL GROUP9 10
uav 192.168.1.111 uas-dtu Aether 256000 INTEL GROUP9 11
uav 192.168.1.112 uas-dtu Aether 256000 INTEL GROUP12 12
uav 192.168.1.113 uas-dtu Aether 256000 INTEL GROUP12 13
uav 192.168.1.114 uas-dtu Aether 256000 INTEL GROUP12 14
uav 192.168.1.115 uas-dtu Aether 256000 INTEL GROUP12 15
uav 192.168.1.116 uas-dtu Aether 256000 INTEL GROUP9 16
uav 192.168.1.117 uas-dtu Aether 256000 INTEL GROUP1 17
uav 192.168.1.118 uas-dtu Aether 256000 INTEL GROUP4 18
uav 192.168.1.119 uas-dtu Aether 256000 INTEL GROUP4 19
uav 192.168.1.120 uas-dtu Aether 256000 INTEL GROUP4 20
uav 192.168.1.121 uas-dtu Aether 256000 INTEL GROUP5 21
uav 192.168.1.122 uas-dtu Aether 256000 INTEL GROUP5 22
uav 192.168.1.123 uas-dtu Aether 256000 INTEL GROUP5 23
uav 192.168.1.124 uas-dtu Aether 256000 INTEL GROUP5 24
uav 192.168.1.125 uas-dtu Aether 256000 INTEL GROUP5 25


