GCS 192.168.0.69 parth Aether 60000 INTEL GROUP0 0
uav 192.168.0.101 uas-dtu Aether 256000 DTC GROUP1 1
uav 192.168.0.102 uas-dtu Aether 256000 INTEL GROUP1 2
uav 192.168.0.103 uas-dtu Aether 256000 INTEL GROUP1 3
uav 192.168.0.104 uas-dtu Aether 256000 INTEL GROUP1 4
uav 192.168.0.105 uas-dtu Aether 256000 INTEL GROUP6 5
uav 192.168.0.106 uas-dtu Aether 256000 DTC GROUP6 6
uav 192.168.0.107 uas-dtu Aether 256000 INTEL GROUP6 7
uav 192.168.0.108 uas-dtu Aether 256000 INTEL GROUP6 8
uav 192.168.0.109 uas-dtu Aether 256000 DTC GROUP9 9
uav 192.168.0.110 uas-dtu Aether 256000 INTEL GROUP9 10
uav 192.168.0.111 uas-dtu Aether 256000 INTEL GROUP9 11
uav 192.168.0.112 uas-dtu Aether 256000 DTC GROUP12 12
uav 192.168.0.113 uas-dtu Aether 256000 INTEL GROUP12 13
uav 192.168.0.114 uas-dtu Aether 256000 INTEL GROUP12 14
uav 192.168.0.115 uas-dtu Aether 256000 INTEL GROUP12 15
uav 192.168.0.116 uas-dtu Aether 256000 INTEL GROUP9 16
uav 192.168.0.117 uas-dtu Aether 256000 INTEL GROUP1 17

