GCS 192.168.0.69 parth Aether 60000 DTC GROUP0 0
uav 192.168.0.101 uas-dtu Aether 256000 DTC GROUP1 1
uav 192.168.0.102 uas-dtu Aether 256000 DTC GROUP1 2
uav 192.168.0.103 uas-dtu Aether 256000 DTC GROUP1 3
uav 192.168.0.104 uas-dtu Aether 256000 DTC GROUP1 4
uav 192.168.0.105 uas-dtu Aether 256000 DTC GROUP1 5
uav 192.168.0.106 uas-dtu Aether 256000 DTC GROUP1 6
uav 192.168.0.107 uas-dtu Aether 256000 DTC GROUP1 7
uav 192.168.0.108 uas-dtu Aether 256000 DTC GROUP1 8
uav 192.168.0.109 uas-dtu Aether 256000 DTC GROUP1 9
uav 192.168.0.110 uas-dtu Aether 256000 DTC GROUP1 10
uav 192.168.0.111 uas-dtu Aether 256000 DTC GROUP1 11
uav 192.168.0.112 uas-dtu Aether 256000 DTC GROUP1 12
uav 192.168.0.113 uas-dtu Aether 256000 DTC GROUP1 13
uav 192.168.0.114 uas-dtu Aether 256000 DTC GROUP1 14
uav 192.168.0.115 uas-dtu Aether 256000 DTC GROUP1 15
uav 192.168.0.116 uas-dtu Aether 256000 DTC GROUP1 16
uav 192.168.0.117 uas-dtu Aether 256000 DTC GROUP1 17
uav 192.168.0.118 uas-dtu Aether 256000 DTC GROUP1 18
uav 192.168.0.119 uas-dtu Aether 256000 DTC GROUP1 19
uav 192.168.0.120 uas-dtu Aether 256000 DTC GROUP1 20
uav 192.168.0.121 uas-dtu Aether 256000 DTC GROUP1 21
uav 192.168.0.122 uas-dtu Aether 256000 DTC GROUP1 22
uav 192.168.0.123 uas-dtu Aether 256000 DTC GROUP1 23
uav 192.168.0.124 uas-dtu Aether 256000 DTC GROUP1 24
uav 192.168.0.125 uas-dtu Aether 256000 DTC GROUP1 25


